"kingdom","phylum","class","order","family","sub_family","genus","iucn_threat_status","common_name_description","Sampling.Point","value","Species"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Chironominae",NA,1,"non biting midges","x010824_kn12_mzb6",16,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Chironominae",NA,1,"non biting midges","x010824_kn13_mzb7",15,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Chironominae",NA,1,"non biting midges","x010824_kn13_mzb8",16,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn01_mzb1",4,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn01_mzb2",5,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn02_mzb3",8,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn03_mzb5",12,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn03_mzb6",12,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn04_mzb7",3,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x300724_kn04_mzb8",1,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn05_mzb1",1,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn05_mzb2",2,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn06_mzb3",3,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn07_mzb5",9,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn07_mzb6",4,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn09_mzb9",23,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x310724_kn09_mzb10",2,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn10_mzb1",1,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn10_mzb2",2,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn11_mzb3",3,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn12_mzb5",29,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn12_mzb6",11,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn13_mzb7",2,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Tanypodinae",NA,1,"non biting midges","x010824_kn13_mzb8",13,"Chironomidae"
"Animalia","Arthropoda","Insecta","Diptera","Psychodidae",NA,NA,1,"moth flies or owl midges","x300724_kn02_mzb3",1,"Psychodidae"
"Animalia","Arthropoda","Insecta","Diptera","Psychodidae",NA,NA,1,"moth flies or owl midges","x300724_kn03_mzb6",1,"Psychodidae"
"Animalia","Arthropoda","Insecta","Diptera","Psychodidae",NA,NA,1,"moth flies or owl midges","x010824_kn12_mzb5",1,"Psychodidae"
"Animalia","Arthropoda","Insecta","Diptera","Limoniidae",NA,"Helius",1,"limonid craneflies","x300724_kn03_mzb6",1,"Helius"
"Animalia","Arthropoda","Insecta","Diptera","Limoniidae",NA,"Helius",1,"limonid craneflies","x010824_kn13_mzb7",1,"Helius"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x300724_kn02_mzb4",2,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x300724_kn03_mzb5",1,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x300724_kn03_mzb6",2,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x310724_kn05_mzb1",7,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x310724_kn05_mzb2",6,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x310724_kn06_mzb3",1,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Culicidae",NA,NA,1,"mosquitoes","x310724_kn06_mzb4",1,"Culicidae"
"Animalia","Arthropoda","Insecta","Diptera","Dixidae",NA,"Dixa",1,"meniscus midges","x300724_kn03_mzb5",3,"Dixa"
"Animalia","Arthropoda","Insecta","Diptera","Dixidae",NA,"Dixa",1,"meniscus midges","x310724_kn07_mzb5",1,"Dixa"
"Animalia","Arthropoda","Insecta","Diptera","Dixidae",NA,"Dixa",1,"meniscus midges","x010824_kn13_mzb7",2,"Dixa"
"Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,"Dasyhelea",1,"biting midges","x300724_kn03_mzb6",1,"Dasyhelea"
"Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,"Dasyhelea",1,"biting midges","x310724_kn08_mzb7",1,"Dasyhelea"
"Animalia","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,"Dasyhelea",1,"biting midges","x310724_kn09_mzb10",1,"Dasyhelea"
"Animalia","Arthropoda","Insecta","Diptera","Tabanidae",NA,"Tabanus",1,"horseflies & deerflies","x310724_kn09_mzb10",2,"Tabanus"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn01_mzb1",3,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn01_mzb2",5,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn02_mzb4",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn03_mzb5",23,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn03_mzb6",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x300724_kn04_mzb7",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn05_mzb1",29,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn05_mzb2",8,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn06_mzb3",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn06_mzb4",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn07_mzb5",6,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn07_mzb6",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x310724_kn09_mzb10",6,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x010824_kn10_mzb1",4,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x010824_kn10_mzb2",1,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x010824_kn11_mzb3",3,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x010824_kn11_mzb4",4,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae",NA,"Cloeon",1,"mayflies","x010824_kn13_mzb7",7,"Cloeon dipterum"
"Animalia","Arthropoda","Insecta","Ephemeroptera","Caenidae",NA,"Caenis",1,"mayflies","x310724_kn05_mzb1",3,"Caenis horaria"
